timestamp,open,high,low,close,volume
2026-03-10 09:55:00+00:00,24291.6,24302.5,24281.25,24286.15,0
2026-03-11 03:45:00+00:00,24231.85,24294.1,24218.5,24285.9,0
2026-03-11 03:50:00+00:00,24288.8,24299.0,24239.35,24242.5,0
2026-03-11 03:55:00+00:00,24243.6,24250.35,24213.75,24237.35,0
2026-03-11 04:00:00+00:00,24237.9,24238.25,24203.1,24228.6,0
2026-03-11 04:05:00+00:00,24228.75,24230.7,24181.75,24192.45,0
2026-03-11 04:10:00+00:00,24194.7,24197.6,24172.75,24187.65,0
2026-03-11 04:15:00+00:00,24188.95,24207.5,24179.95,24198.8,0
2026-03-11 04:20:00+00:00,24199.3,24205.35,24146.5,24148.55,0
2026-03-11 04:25:00+00:00,24148.35,24170.55,24144.65,24153.7,0
2026-03-11 04:30:00+00:00,24154.6,24161.7,24134.2,24160.6,0
2026-03-11 04:35:00+00:00,24160.95,24160.95,24117.05,24118.2,0
2026-03-11 04:40:00+00:00,24118.85,24125.9,24109.6,24116.5,0
2026-03-11 04:45:00+00:00,24117.1,24132.25,24112.0,24124.0,0
2026-03-11 04:50:00+00:00,24124.6,24130.35,24103.45,24125.05,0
2026-03-11 04:55:00+00:00,24126.3,24131.95,24111.0,24121.65,0
2026-03-11 05:00:00+00:00,24122.35,24141.95,24119.4,24125.4,0
2026-03-11 05:05:00+00:00,24125.35,24125.6,24084.85,24085.55,0
2026-03-11 05:10:00+00:00,24087.0,24101.4,24069.85,24074.1,0
2026-03-11 05:15:00+00:00,24074.0,24088.35,24049.05,24087.6,0
2026-03-11 05:20:00+00:00,24087.4,24097.65,24072.35,24083.45,0
2026-03-11 05:25:00+00:00,24083.85,24104.1,24080.35,24102.95,0
2026-03-11 05:30:00+00:00,24103.1,24114.1,24089.9,24110.85,0
2026-03-11 05:35:00+00:00,24111.45,24111.95,24083.65,24085.65,0
2026-03-11 05:40:00+00:00,24085.75,24087.4,24063.3,24071.4,0
2026-03-11 05:45:00+00:00,24073.75,24073.75,24037.65,24042.1,0
2026-03-11 05:50:00+00:00,24040.85,24041.75,24009.2,24010.6,0
2026-03-11 05:55:00+00:00,24013.5,24033.7,24011.95,24033.55,0
2026-03-11 06:00:00+00:00,24033.9,24034.35,23996.4,24001.2,0
2026-03-11 06:05:00+00:00,24001.45,24023.6,23986.0,24009.6,0
2026-03-11 06:10:00+00:00,24010.45,24014.45,24000.1,24013.55,0
2026-03-11 06:15:00+00:00,24014.45,24015.95,23995.9,23996.75,0
2026-03-11 06:20:00+00:00,23997.95,23998.25,23974.45,23995.25,0
2026-03-11 06:25:00+00:00,23995.55,23995.55,23971.6,23982.3,0
2026-03-11 06:30:00+00:00,23982.6,24022.85,23978.8,24021.95,0
2026-03-11 06:35:00+00:00,24022.1,24023.85,23997.6,24002.5,0
